model,split_type,acc,auc,f1,prec,recall,spec,acc_lower,acc_upper,auc_lower,auc_upper,f1_lower,f1_upper,prec_lower,prec_upper,recall_lower,recall_upper,spec_lower,spec_upper
tagt,cv_mean,0.9400000000000001,0.8731182795698924,0.8285714285714285,0.8400000000000001,0.8222222222222222,0.9741935483870968,0.82,1.0,0.6193548387096774,1.0,0.48571428571428565,1.0,0.52,1.0,0.4666666666666667,1.0,0.9225806451612903,1.0
tagt,overall,0.94,0.9741671372106154,0.8636363636363636,0.9047619047619048,0.8260869565217391,,0.82,1.0,0.6193548387096774,1.0,0.48571428571428565,1.0,0.52,1.0,0.4666666666666667,1.0,0.9225806451612903,1.0
tagt_cv,cv_fold_1,0.881578947368421,0.9123076923076923,0.8,0.9473684210526315,0.6923076923076923,,0.8704210526315789,0.9129122807017543,0.9253046153846153,0.9576676923076922,0.7793765462642257,0.8714572460859091,0.862261268143621,0.9671826625386997,0.6692307692307693,0.8520153846153847,,
tagt_cv,cv_fold_2,0.8552631578947368,0.9546153846153846,0.7441860465116279,0.9411764705882353,0.6153846153846154,,0.8704210526315789,0.9129122807017543,0.9253046153846153,0.9576676923076922,0.7793765462642257,0.8714572460859091,0.862261268143621,0.9671826625386997,0.6692307692307693,0.8520153846153847,,
tagt_cv,cv_fold_3,0.9342105263157895,0.9584615384615384,0.8936170212765957,1.0,0.8076923076923077,,0.8704210526315789,0.9129122807017543,0.9253046153846153,0.9576676923076922,0.7793765462642257,0.8714572460859091,0.862261268143621,0.9671826625386997,0.6692307692307693,0.8520153846153847,,
tagt_cv,cv_fold_4,0.9066666666666666,0.9584,0.8679245283018868,0.8214285714285714,0.92,,0.8704210526315789,0.9129122807017543,0.9253046153846153,0.9576676923076922,0.7793765462642257,0.8714572460859091,0.862261268143621,0.9671826625386997,0.6692307692307693,0.8520153846153847,,
tagt_cv,cv_fold_5,0.88,0.9312,0.8085106382978723,0.8636363636363636,0.76,,0.8704210526315789,0.9129122807017543,0.9253046153846153,0.9576676923076922,0.7793765462642257,0.8714572460859091,0.862261268143621,0.9671826625386997,0.6692307692307693,0.8520153846153847,,
tagt_cv,cv_mean,0.8915438596491227,0.9429969230769231,0.8228476468775966,0.9147219653411603,0.7590769230769231,,0.8704210526315789,0.9129122807017543,0.9253046153846153,0.9576676923076922,0.7793765462642257,0.8714572460859091,0.862261268143621,0.9671826625386997,0.6692307692307693,0.8520153846153847,,
ultimatetagt,best,,0.9715384615384616,,,,,,,,,,,,,,,,
ultimatetagt,final,0.881578947368421,0.9715384615384616,0.8085106382978723,0.9047619047619048,0.7307692307692307,,,,,,,,,,,,,
